,post_text,post_id,like,love,haha,wow,sad,angry,care,shares,comments,reaction_count,Day,date,hour,time
0,"You can now redeem your My Nintendo Platinum Points to collect holiday themed custom icons, available until 12/25 at 5pm PT.

Learn more: http://ninten.do/6188iHF1j",661994359446422,311.0,122.0,3.0,10.0,0.0,0.0,9.0,64,24,455,Tuesday,2023-11-28,8,2023-11-28 08:30:00
1,"The Tetris 99 38th MAXIMUS CUP event will run from 12/14 at 11:00pm PT to 12/18 at 10:59pm PT!

Once you’ve accumulated a total of 100 event points, a new theme will unlock, featuring art, music, and Tetrimino designs inspired by Super Mario Bros. Wonder!",661989386113586,62.0,11.0,0.0,0.0,0.0,0.0,1.0,17,5,74,Tuesday,2023-11-28,8,2023-11-28 08:15:00
2,"The Tetris 99 37th MAXIMUS CUP event will run from 11/30 at 11:00pm PT to 12/4 at 10:59pm PT!

Once you’ve accumulated a total of 100 event points, a new theme will unlock, featuring art, music, and Tetrimino designs inspired by WarioWare: Move It!",661985226114002,42.0,11.0,0.0,0.0,0.0,1.0,0.0,16,3,54,Tuesday,2023-11-28,8,2023-11-28 08:01:10
3,"Groups ranging in size from 2 to 100 people can play Everybody 1-2-Switch! Watch these 16 content creators (along with their host, Horace) try out Relay Race, Musical Chairs, and more team-based games.",660425176270007,144.0,21.0,4.0,3.0,0.0,1.0,4.0,18,28,177,Saturday,2023-11-25,3,2023-11-25 03:00:38
4,When’s the last time you visited Paldea? There’s a bunch to explore in Pokémon Scarlet and Pokémon Violet!,660388266273698,316.0,96.0,27.0,3.0,1.0,2.0,6.0,28,60,451,Saturday,2023-11-25,1,2023-11-25 01:00:26
5,"Get 50% off EA SPORTS FC™ 24 and play now to get a UEFA EURO 2024™ Ultimate Team™ player from December 18th until the competition arrives next summer.*

http://ninten.do/6183iHSGV",660366046275920,48.0,10.0,1.0,1.0,0.0,0.0,2.0,6,5,62,Saturday,2023-11-25,0,2023-11-25 00:00:02
6,"The very first RPG in the Mario series is back! See what has critics jumping for joy in Super Mario RPG, available now only on the Nintendo Switch system!",660340966278428,563.0,237.0,1.0,4.0,0.0,0.0,10.0,66,75,815,Friday,2023-11-24,23,2023-11-24 23:01:47
7,Hisuian Samurott with the Mightiest Mark is now appearing in black crystal Tera Raid Battles throughout Pokémon Scarlet and Pokémon Violet!,660012469644611,437.0,97.0,1.0,4.0,1.0,0.0,5.0,47,70,545,Friday,2023-11-24,7,2023-11-24 07:00:00
8,Detective Pikachu is…,659424173036774,363.0,74.0,2.0,1.0,0.0,0.0,8.0,25,29,448,Thursday,2023-11-23,2,2023-11-23 02:00:22
9,"Nintendo Switch Online members! You can now download and try the full Fae Farm game at no additional cost until 11/28 11:59pm PT.

As an added bonus, for a limited time you can purchase this digital title for 25% off! This sale ends 12/3/23 at 11:59pm PT

Nintendo Switch Online members can earn 100 My Nintendo Platinum Points by participating in this Game Trial. Learn more by clicking the Nintendo Switch Online icon on HOME of your Nintendo Switch system.

http://ninten.do/6184iHEUm",659403666372158,266.0,48.0,1.0,3.0,0.0,0.0,4.0,35,66,322,Thursday,2023-11-23,1,2023-11-23 01:15:00
10,"The Cyber Deals sale is here!

Score big savings on select Nintendo Switch games. Now through 12/3 at 11:59 p.m. PT
http://ninten.do/6182iHRZ4",659395176373007,112.0,21.0,0.0,1.0,1.0,0.0,1.0,22,16,136,Thursday,2023-11-23,1,2023-11-23 01:02:07
11,Just another Pik-me-up for your Wednesday morning. Enjoy!,659380059707852,300.0,75.0,0.0,2.0,0.0,0.0,7.0,35,14,384,Thursday,2023-11-23,0,2023-11-23 00:30:33
12,"Swipe through the main cast of characters in Super Mario RPG, available now!

http://ninten.do/6189iHOYF",659367543042437,1363.0,603.0,2.0,8.0,0.0,0.0,29.0,205,194,2005,Thursday,2023-11-23,0,2023-11-23 00:00:05
13,"Adventure calls in the galaxy of Jet Force Gemini, coming to Nintendo Switch for Nintendo Switch Online + Expansion Pack members this December!",659026999743158,3418.0,1696.0,19.0,729.0,3.0,1.0,91.0,974,1100,5957,Wednesday,2023-11-22,8,2023-11-22 08:43:12
14,"Nintendo Switch Online members! From 11/22 at 10:00am PT to 11/28 at 11:59pm PT, you can download and try the full Fae Farm game at no additional cost.

As an added bonus, for a limited time, you can purchase this digital title for 25% off from 11/ 22 at 10:00am PT to 11/28 at 11:59pm PT.

Learn more: http://ninten.do/6185iHEcU",658889266423598,737.0,223.0,4.0,25.0,0.0,0.0,5.0,325,329,994,Wednesday,2023-11-22,1,2023-11-22 01:30:01
15,"What is your best Pikmin 4 tip? Remember, one can always improve their Dandori!",658879266424598,126.0,23.0,0.0,1.0,1.0,0.0,2.0,1,52,153,Wednesday,2023-11-22,1,2023-11-22 01:00:00
16,"Special limited-time offer! Earn 20% in Gold Points on your purchase or renewal of a 12-month Nintendo Switch Online or Nintendo Switch Online + Expansion Pack membership. Offer ends 12/6/23 at 11:59pm PT.

http://ninten.do/6188iGWi2",658852349760623,311.0,47.0,3.0,6.0,1.0,0.0,6.0,32,39,374,Wednesday,2023-11-22,0,2023-11-22 00:05:01
17,"It’s SHOWTIME! Fall into a new story with familiar faces and save a new realm from the rule of evil tyrants in Persona 5 Tactica! Available now on #NintendoSwitch!

🔥: http://ninten.do/6180iESFy",657325966579928,147.0,40.0,0.0,4.0,0.0,0.0,3.0,37,7,194,Sunday,2023-11-19,0,2023-11-19 00:01:24
18,"New amiibo figures featuring Shiver, Frye, and Big Man from Splatoon 3 are available now!",656890586623466,384.0,139.0,1.0,4.0,0.0,0.0,8.0,61,62,536,Saturday,2023-11-18,4,2023-11-18 04:00:05
19,"Join the fun with the Heeler family and experience the joy and wonder of Bluey's world in Bluey: The Videogame! Available now on Nintendo Switch!

🐾: http://ninten.do/6183iEJsN",656869699958888,247.0,74.0,3.0,12.0,0.0,0.0,5.0,60,119,341,Saturday,2023-11-18,3,2023-11-18 03:01:04
20,"You can now redeem your My Nintendo Platinum Points to collect custom icons from Super Mario RPG, available until 12/7 at 5pm PT. Icon elements will be refreshed each week.

Learn more: http://ninten.do/6183iEM23",656827239963134,1337.0,543.0,6.0,21.0,0.0,0.0,23.0,180,182,1930,Saturday,2023-11-18,1,2023-11-18 01:00:01
21,"Join up with Mario, Mallow, Geno, Bowser, and Princess Peach in a charming role-playing adventure featuring updated graphics, cinematics, and music!

Super Mario RPG is available now!

http://ninten.do/6188iE3Es",656745573304634,842.0,374.0,0.0,5.0,0.0,0.0,19.0,158,97,1240,Friday,2023-11-17,22,2023-11-17 22:00:27
22,Wa-hoo! Super Mario RPG is out now!,656706779975180,2485.0,1159.0,4.0,26.0,2.0,1.0,55.0,370,302,3732,Friday,2023-11-17,21,2023-11-17 21:00:01
23,"Mass outbreaks of Eevee are appearing throughout Kitakami and Paldea in Pokémon Scarlet and Pokémon Violet, and will have a different Mark depending on whether you catch them in Paldea or Kitakami!",656353976677127,721.0,216.0,6.0,10.0,0.0,0.0,7.0,77,80,960,Friday,2023-11-17,7,2023-11-17 07:15:00
24,Eevee is now appearing in Tera Raid Battles throughout Pokémon Scarlet and Pokémon Violet!,656350206677504,461.0,96.0,6.0,12.0,0.0,0.0,9.0,42,48,584,Friday,2023-11-17,7,2023-11-17 07:00:00
25,Only one more sleep until we can save Star Road in Super Mario RPG on Nintendo Switch!,656214166691108,1274.0,552.0,1.0,8.0,1.0,1.0,29.0,198,232,1866,Friday,2023-11-17,2,2023-11-17 02:00:01
26,"Learn more about Chill Season 2023, arriving in Splatoon 3 on 12/1!

Stay tuned and jam out to the new Chirpy Chips single and music video while you’re at it! 🎶",655742966738228,395.0,197.0,2.0,9.0,0.0,0.0,6.0,155,25,609,Thursday,2023-11-16,5,2023-11-16 05:02:13
27,"Rise and shine, Super Mario RPG is almost here!

Experience this classic adventure again or for the first time this Friday, only on Nintendo Switch.

http://ninten.do/618790IKP",655673210078537,1546.0,690.0,1.0,12.0,1.0,1.0,38.0,149,215,2289,Thursday,2023-11-16,2,2023-11-16 02:00:00
28,"Meet the Loyal Three, a trio of heroic Pokémon from Kitakami — Okidogi, Munkidori, and Fezandipiti!",655652000080658,320.0,66.0,44.0,1.0,4.0,0.0,4.0,20,38,439,Thursday,2023-11-16,1,2023-11-16 01:00:13
29,"Which games from the latest Indie World Showcase are you looking forward to playing?

Check out the full presentation here: http://ninten.do/6183i8cRV",655621890083669,126.0,26.0,1.0,3.0,0.0,0.0,4.0,20,45,160,Thursday,2023-11-16,0,2023-11-16 00:00:00
30,"We are honored that The Legend of Zelda: Tears of the Kingdom and Super Mario Bros. Wonder have both received Game of the Year nominations at The Game Awards!

Thank you to everyone for your support!
http://ninten.do/6181i8lRU",655184416794083,1806.0,923.0,9.0,14.0,0.0,0.0,33.0,128,172,2785,Wednesday,2023-11-15,4,2023-11-15 04:02:18
31,Don’t cry! There’s only 3 days left until Super Mario RPG comes to Nintendo Switch!,655162573462934,1447.0,616.0,2.0,18.0,2.0,2.0,34.0,225,220,2121,Wednesday,2023-11-15,3,2023-11-15 03:01:01
